group,name,phone,slug,text
B,Sp Auto,+48534510386,spauto,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://spauto.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
B,BULEK,+48500512693,bulek,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://bulek.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
B,Auto Serwis BARTEX,+48604560772,bartex,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://bartex.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
B,GARAGE 66,+48730778778,garage66,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://garage66.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
B,GAMERC,+48602780911,gamerc,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://gamerc.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
C,DIESELCHIP,+48516757560,dieselchip,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://dieselchip.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
C,LPG Expert,+48796545247,lpgexpert,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://lpgexpert.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
C,MarkAuto Serwis,+48503005705,markauto,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://markauto.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
C,WMW Automotive,+48503398404,wmw,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://wmw.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
D,Auto Firma,+48695194119,autofirma,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://autofirma.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
D,Mechanika Pojazdowa Latusek,+48601951909,latusek,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://latusek.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
D,Pietruszko Auto Service,+48602332740,pietruszko,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://pietruszko.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
D,RS AUTO,+48514606061,rsauto,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://rsauto.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
E,Auto Strzelecki,+48720830909,strzelecki,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://strzelecki.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
E,Auto-Jack,+48669820145,autojack,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://autojack.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
E,Auto Expert,+48600249761,autoexpert,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://autoexpert.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
E,KW Diagnostics,+48453225237,kwdiagnostics,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://kwdiagnostics.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
E,Auto-Cel,+48501464440,autocel,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://autocel.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
F,Gucio,+48667275290,gucio,"Dzień dobry, Stanisław z Givyx. Wczoraj wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://gucio.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
F,Moto-Gazda (WhatsApp),+48790597171,motogazda,"Dzień dobry, Stanisław z Givyx. Wczoraj wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://motogazda.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
F,Super Serwis,+48669519717,superserwis,"Dzień dobry, Stanisław z Givyx. Wczoraj wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://superserwis.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
F,Auto-Klinika,+48509733020,autoklinika,"Dzień dobry, Stanisław z Givyx. Wczoraj wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://autoklinika.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
G,AutoGarage Tecław,+48733722779,teclaw,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://teclaw.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
G,Top Car Garage,+48795257661,topcargarage,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://topcargarage.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
G,FOX AUTO,+48662598272,foxauto,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://foxauto.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
G,AUTO-FLOWER SERWIS,+48691774145,autoflower,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://autoflower.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
G,Auto Golik Serwis,+48784533204,golik,"Dzień dobry, Stanisław z Givyx. Kilka dni temu wysłałem maila — zbudowaliśmy dla Was gotową stronę: https://golik.givyx.com. Zobaczcie na telefonie, to 30 sekund. Pierwszy miesiąc gratis, bez umowy. Jeśli nie na temat — krótkie „nie” wystarczy."
